direction	caller	callee
SERVICE_TO_MAIN	ps2vnc_reconfigure_current_desktop_hires	set_live_encoding
SERVICE_TO_MAIN	ps2vnc_reconfigure_current_desktop_hires	set_raw_encoding
SERVICE_TO_MAIN	ps2vnc_reconfigure_current_desktop_hires	set_raw_extended_desktop_encoding
SERVICE_TO_MAIN	ps2vnc_reconfigure_current_desktop_standard	region_fits_u32
MAIN_TO_SERVICE	ps2vnc_remote_control_poll_idle	ps2vnc_management_get_bounded_quiet
MAIN_TO_SERVICE	ps2vnc_remote_result_post	ps2vnc_management_post_text
MAIN_TO_SERVICE	ps2vnc_rollback_display_transaction	recover_rfb_transport_for_display_rollback
MAIN_TO_SERVICE	ps2vnc_rollback_display_transaction	screen_fit_apply_preset
SERVICE_TO_MAIN	ps2vnc_run_runtime_calibration	flush_rfb_outgoing
SERVICE_TO_MAIN	ps2vnc_run_runtime_calibration	ps2vnc_display_direct_write_cancel
SERVICE_TO_MAIN	ps2vnc_run_runtime_calibration	screenf
SERVICE_TO_MAIN	ps2vnc_socket_wait_bounded	profile_ticks_us
SERVICE_TO_MAIN	ps2vnc_startup_apply_authoritative_profile	ps2vnc_video_mode_default_backend
SERVICE_TO_MAIN	ps2vnc_startup_apply_authoritative_profile	screenf
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	ethGetNetIFLinkStatus
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	probe_extended_desktop_size
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	receive_framebuffer_update
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	request_and_confirm_desktop_size
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	request_framebuffer
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	reset_rfb_transport_state
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	rfb_connect_and_handshake_limited
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	screenf
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	set_gs555_pixel_format
SERVICE_TO_MAIN	ps2vnc_startup_connect_reconciled	set_raw_encoding
MAIN_TO_SERVICE	ps2vnc_startup_finalize_display_transaction	ps2vnc_display_profile_capture_active
MAIN_TO_SERVICE	ps2vnc_startup_finalize_display_transaction	ps2vnc_display_transaction_commit_to_pi
MAIN_TO_SERVICE	ps2vnc_startup_finalize_display_transaction	ps2vnc_display_transaction_restored_to_pi
MAIN_TO_SERVICE	ps2vnc_startup_finalize_display_transaction	ps2vnc_display_tx_profiles_equal
SERVICE_TO_MAIN	ps2vnc_startup_mode_save_to_pi	ps2vnc_video_mode_by_name
SERVICE_TO_MAIN	ps2vnc_startup_mode_save_to_pi	send_exact
SERVICE_TO_MAIN	ps2vnc_startup_prepare_display_transaction	screenf
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	draw_recovery_status
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	ps2vnc_controller_pad_acquire
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	ps2vnc_controller_pad_release
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	ps2vnc_display_draw_desktop
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	ps2vnc_display_finish_draw
MAIN_TO_SERVICE	ps2vnc_switch_display_mode	ps2vnc_display_flip
MAIN_TO_SERVICE	ps2vnc_switch_display_mode_core	debug_emit_geometry_snapshot
MAIN_TO_SERVICE	ps2vnc_switch_display_mode_core	ps2vnc_display_create
MAIN_TO_SERVICE	ps2vnc_switch_display_mode_core	ps2vnc_display_destroy
MAIN_TO_SERVICE	ps2vnc_switch_display_mode_core	ps2vnc_display_prepare_desktop
MAIN_TO_SERVICE	ps2vnc_switch_display_mode_core	ps2vnc_display_prepare_osk
MAIN_TO_SERVICE	publish_hires_background	ps2vnc_display_wait_presentation_memory_idle
SERVICE_TO_MAIN	recover_rfb_connection	ethGetNetIFLinkStatus
SERVICE_TO_MAIN	recover_rfb_connection	probe_extended_desktop_size
SERVICE_TO_MAIN	recover_rfb_connection	ps2vnc_display_publish_full_desktop
SERVICE_TO_MAIN	recover_rfb_connection	receive_framebuffer_update
SERVICE_TO_MAIN	recover_rfb_connection	request_and_confirm_desktop_size
SERVICE_TO_MAIN	recover_rfb_connection	request_framebuffer
SERVICE_TO_MAIN	recover_rfb_connection	reset_rfb_transport_state
SERVICE_TO_MAIN	recover_rfb_connection	rfb_connect_and_handshake
SERVICE_TO_MAIN	recover_rfb_connection	set_gs555_pixel_format
