object	source_file	source_line	linkage_type	size_hex	symbol
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	347	T	00000014	ps2vnc_display_transaction_restored_to_pi
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	356	T	00000014	ps2vnc_display_transaction_ack_to_pi
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1094	t	000003cc	ps2vnc_config_parse_display_policy.constprop.0
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1286	T	0000010c	ps2vnc_display_policy_refresh_from_pi
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1350	T	00000098	ps2vnc_display_policy_lock_to_pi
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1384	T	00000080	ps2vnc_display_policy_hide_to_pi
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1425	T	00000138	ps2vnc_display_tx_take_line
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1519	T	000003ec	ps2vnc_display_tx_parse_profile
ps2vnc_management_tail.o	ps2vnc_management_tail.inc	1584	T	0000009c	ps2vnc_display_tx_profiles_equal
ps2vnc_runtime.o	ps2vnc_runtime.c	273	T	00000028	ps2vnc_video_mode_supports_backend
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	4	T	00000034	ps2vnc_video_mode_default_backend
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	19	T	000000e8	ps2vnc_video_mode_by_name
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	53	T	00000038	ps2vnc_hires_effective_width
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	53	T	00000080	ps2vnc_hires_storage_bytes
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	53	T	00000038	ps2vnc_hires_storage_width
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	99	T	00000058	ps2vnc_hires_requires_raster_mapping
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	121	T	00000080	ps2vnc_hires_requires_vertical_mapping
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	163	T	00000080	ps2vnc_hires_storage_height
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	199	T	00000090	ps2vnc_display_logical_desktop_size
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	223	T	0000010c	ps2vnc_display_output_x
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	240	T	000000dc	ps2vnc_display_output_y
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	799	T	00000028	display_menu_mode_at_selection
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	808	T	00000018	display_mode_request_for_selection
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	818	T	0000002c	display_mode_request_target
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	1179	T	0000007c	screenf
ps2vnc_runtime.o	ps2vnc_runtime_core.inc	1236	T	00000054	region_fits_u32
ps2vnc_runtime.o	ps2vnc_runtime_core.inc		T	00000040	display_menu_selection_for_mode
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	210	T	000000d8	display_confirm_arm_transaction
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	243	T	00000094	display_confirm_disarm_transaction
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	277	T	00000038	display_confirm_return_to_active_menu
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	299	T	000000f8	display_confirm_remaining_seconds
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	377	T	0000009c	wait_pad_ready_after_mode_change
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	878	T	00000030	set_raw_extended_desktop_encoding
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	995	T	00000310	request_and_confirm_desktop_size
ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	1582	T	00000098	osk_display_char
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	3	T	00000240	display_confirm_render_bitmap
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	62	T	00000164	display_restore_ack_render_bitmap
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	105	T	00000038	display_menu_tab_for_mode
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	184	t	00000110	display_menu_first_visible_selection
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	244	T	00000310	display_menu_normalize_selection
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	291	T	00000108	display_menu_open_for_active
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	332	T	00000284	display_menu_move_vertical_selection
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	377	T	00000170	display_menu_move_horizontal_selection
ps2vnc_ui_display.o	ps2vnc_ui_core.inc	407	T	00000834	display_menu_render_bitmap
