object	nm_symbol	canonical_symbol	occurrence_count	locations
ps2vnc_framebuffer_tail.o	cached_storage_height.18	cached_storage_height	3	ps2vnc_framebuffer_tail.inc:114,ps2vnc_framebuffer_tail.inc:198,ps2vnc_framebuffer_tail.inc:301
ps2vnc_framebuffer_tail.o	cached_storage_width.19	cached_storage_width	3	ps2vnc_framebuffer_tail.inc:113,ps2vnc_framebuffer_tail.inc:197,ps2vnc_framebuffer_tail.inc:300
ps2vnc_runtime.o	active_display_backend	active_display_backend	42	ps2vnc_calibration_tail.inc:889,ps2vnc_calibration_tail.inc:974,ps2vnc_calibration_tail.inc:1034,ps2vnc_calibration_tail.inc:1035,ps2vnc_calibration_tail.inc:1071,ps2vnc_calibration_tail.inc:1257,ps2vnc_calibration_tail.inc:1320,ps2vnc_calibration_tail.inc:1326,ps2vnc_calibration_tail.inc:1346,ps2vnc_calibration_tail.inc:1351,ps2vnc_calibration_tail.inc:1373,ps2vnc_calibration_tail.inc:1378,ps2vnc_calibration_tail.inc:1397,ps2vnc_calibration_tail.inc:1402,ps2vnc_calibration_tail.inc:1413,ps2vnc_calibration_tail.inc:1417,ps2vnc_calibration_tail.inc:1419,ps2vnc_calibration_tail.inc:1423,ps2vnc_calibration_tail.inc:1425,ps2vnc_calibration_tail.inc:1546,ps2vnc_calibration_tail.inc:1550,ps2vnc_calibration_tail.inc:1578,ps2vnc_calibration_tail.inc:1581,ps2vnc_display_core.inc:519,ps2vnc_framebuffer_core.inc:1107,ps2vnc_framebuffer_core.inc:1137,ps2vnc_framebuffer_tail.inc:685,ps2vnc_framebuffer_tail.inc:691,ps2vnc_framebuffer_tail.inc:1041,ps2vnc_framebuffer_tail.inc:1045,ps2vnc_management_core.inc:501,ps2vnc_management_tail.inc:68,ps2vnc_management_tail.inc:72,ps2vnc_runtime_core.inc:32,ps2vnc_runtime_core.inc:202,ps2vnc_runtime_core.inc:205,ps2vnc_runtime_core.inc:223,ps2vnc_runtime_core.inc:225,ps2vnc_runtime_core.inc:240,ps2vnc_runtime_core.inc:242,ps2vnc_runtime_tail.inc:210,ps2vnc_services_imports.h:6
ps2vnc_runtime.o	active_video_mode	active_video_mode	113	ps2vnc_calibration_core.inc:451,ps2vnc_calibration_core.inc:839,ps2vnc_calibration_core.inc:840,ps2vnc_calibration_core.inc:851,ps2vnc_calibration_core.inc:1026,ps2vnc_calibration_core.inc:1160,ps2vnc_calibration_core.inc:1241,ps2vnc_calibration_core.inc:1245,ps2vnc_calibration_core.inc:1259,ps2vnc_calibration_core.inc:1359,ps2vnc_calibration_core.inc:1363,ps2vnc_calibration_core.inc:1371,ps2vnc_calibration_core.inc:1378,ps2vnc_calibration_core.inc:1386,ps2vnc_calibration_core.inc:1447,ps2vnc_calibration_core.inc:1454,ps2vnc_calibration_tail.inc:975,ps2vnc_calibration_tail.inc:986,ps2vnc_calibration_tail.inc:987,ps2vnc_calibration_tail.inc:1140,ps2vnc_calibration_tail.inc:1152,ps2vnc_calibration_tail.inc:1153,ps2vnc_calibration_tail.inc:1154,ps2vnc_calibration_tail.inc:1156,ps2vnc_calibration_tail.inc:1168,ps2vnc_calibration_tail.inc:1187,ps2vnc_calibration_tail.inc:1189,ps2vnc_calibration_tail.inc:1191,ps2vnc_calibration_tail.inc:1192,ps2vnc_calibration_tail.inc:1201,ps2vnc_calibration_tail.inc:1202,ps2vnc_calibration_tail.inc:1203,ps2vnc_calibration_tail.inc:1210,ps2vnc_calibration_tail.inc:1211,ps2vnc_calibration_tail.inc:1228,ps2vnc_calibration_tail.inc:1229,ps2vnc_calibration_tail.inc:1248,ps2vnc_display_core.inc:53,ps2vnc_display_core.inc:518,ps2vnc_display_core.inc:566,ps2vnc_display_core.inc:822,ps2vnc_display_core.inc:823,ps2vnc_display_core.inc:824,ps2vnc_display_core.inc:1036,ps2vnc_display_core.inc:1043,ps2vnc_display_core.inc:1200,ps2vnc_display_core.inc:1218,ps2vnc_display_core.inc:1219,ps2vnc_display_core.inc:1229,ps2vnc_display_tail.inc:322,ps2vnc_display_tail.inc:383,ps2vnc_display_tail.inc:386,ps2vnc_display_tail.inc:411,ps2vnc_display_tail.inc:456,ps2vnc_display_tail.inc:543,ps2vnc_display_tail.inc:567,ps2vnc_display_tail.inc:573,ps2vnc_display_tail.inc:635,ps2vnc_display_tail.inc:676,ps2vnc_display_tail.inc:692,ps2vnc_display_tail.inc:869,ps2vnc_framebuffer_core.inc:1058,ps2vnc_framebuffer_core.inc:1059,ps2vnc_management_core.inc:451,ps2vnc_management_core.inc:505,ps2vnc_management_core.inc:513,ps2vnc_management_core.inc:556,ps2vnc_management_core.inc:735,ps2vnc_management_tail.inc:67,ps2vnc_management_tail.inc:71,ps2vnc_management_tail.inc:1359,ps2vnc_runtime_core.inc:31,ps2vnc_runtime_core.inc:53,ps2vnc_runtime_core.inc:56,ps2vnc_runtime_core.inc:76,ps2vnc_runtime_core.inc:77,ps2vnc_runtime_core.inc:83,ps2vnc_runtime_core.inc:85,ps2vnc_runtime_core.inc:86,ps2vnc_runtime_core.inc:99,ps2vnc_runtime_core.inc:100,ps2vnc_runtime_core.inc:113,ps2vnc_runtime_core.inc:121,ps2vnc_runtime_core.inc:122,ps2vnc_runtime_core.inc:135,ps2vnc_runtime_core.inc:163,ps2vnc_runtime_core.inc:167,ps2vnc_runtime_core.inc:169,ps2vnc_runtime_core.inc:181,ps2vnc_runtime_core.inc:182,ps2vnc_runtime_core.inc:199,ps2vnc_runtime_core.inc:206,ps2vnc_runtime_core.inc:207,ps2vnc_runtime_core.inc:224,ps2vnc_runtime_core.inc:241,ps2vnc_runtime_core.inc:243,ps2vnc_runtime_core_to_tail.h:19,ps2vnc_runtime_core_to_tail.h:21,ps2vnc_runtime_to_ui_display.h:122,ps2vnc_runtime_to_ui_display.h:124,ps2vnc_services_compat.h:158,ps2vnc_services_compat.h:159,ps2vnc_services_imports.h:7,ps2vnc_ui_core.inc:22,ps2vnc_ui_core.inc:173,ps2vnc_ui_core.inc:293,ps2vnc_ui_core.inc:296,ps2vnc_ui_core.inc:602,ps2vnc_ui_core.inc:622,ps2vnc_ui_core.inc:632,ps2vnc_ui_core.inc:757,ps2vnc_ui_tail.inc:876,ps2vnc_ui_tail.inc:939
ps2vnc_runtime.o	desktop_geometry_locked	desktop_geometry_locked	21	ps2vnc_calibration_core.inc:499,ps2vnc_calibration_core.inc:517,ps2vnc_calibration_core.inc:599,ps2vnc_calibration_core.inc:626,ps2vnc_calibration_core.inc:633,ps2vnc_calibration_core.inc:661,ps2vnc_calibration_core.inc:670,ps2vnc_calibration_tail.inc:926,ps2vnc_calibration_tail.inc:1001,ps2vnc_display_core.inc:100,ps2vnc_display_tail.inc:128,ps2vnc_display_tail.inc:1010,ps2vnc_management_core.inc:294,ps2vnc_management_core.inc:296,ps2vnc_management_core.inc:454,ps2vnc_management_core.inc:506,ps2vnc_management_core.inc:512,ps2vnc_management_core.inc:557,ps2vnc_runtime_core.inc:293,ps2vnc_runtime_tail.inc:688,ps2vnc_services_imports.h:14
ps2vnc_runtime.o	desktop_height	desktop_height	70	ps2vnc_calibration_core.inc:516,ps2vnc_calibration_core.inc:526,ps2vnc_calibration_core.inc:569,ps2vnc_calibration_core.inc:574,ps2vnc_calibration_core.inc:598,ps2vnc_calibration_core.inc:625,ps2vnc_calibration_core.inc:632,ps2vnc_calibration_core.inc:644,ps2vnc_calibration_core.inc:660,ps2vnc_calibration_core.inc:669,ps2vnc_calibration_core.inc:1508,ps2vnc_calibration_tail.inc:468,ps2vnc_calibration_tail.inc:475,ps2vnc_calibration_tail.inc:874,ps2vnc_calibration_tail.inc:905,ps2vnc_calibration_tail.inc:921,ps2vnc_calibration_tail.inc:987,ps2vnc_calibration_tail.inc:989,ps2vnc_calibration_tail.inc:1511,ps2vnc_calibration_tail.inc:1517,ps2vnc_calibration_tail.inc:1585,ps2vnc_display_core.inc:81,ps2vnc_display_core.inc:95,ps2vnc_display_core.inc:521,ps2vnc_display_tail.inc:100,ps2vnc_display_tail.inc:119,ps2vnc_framebuffer_core.inc:51,ps2vnc_framebuffer_core.inc:52,ps2vnc_framebuffer_core.inc:775,ps2vnc_framebuffer_core.inc:812,ps2vnc_framebuffer_core.inc:928,ps2vnc_framebuffer_core.inc:933,ps2vnc_framebuffer_core.inc:1021,ps2vnc_framebuffer_core.inc:1120,ps2vnc_framebuffer_core.inc:1170,ps2vnc_framebuffer_core.inc:1203,ps2vnc_framebuffer_core.inc:1204,ps2vnc_framebuffer_tail.inc:161,ps2vnc_framebuffer_tail.inc:167,ps2vnc_framebuffer_tail.inc:168,ps2vnc_framebuffer_tail.inc:202,ps2vnc_framebuffer_tail.inc:275,ps2vnc_framebuffer_tail.inc:292,ps2vnc_framebuffer_tail.inc:296,ps2vnc_framebuffer_tail.inc:297,ps2vnc_framebuffer_tail.inc:307,ps2vnc_framebuffer_tail.inc:362,ps2vnc_framebuffer_tail.inc:655,ps2vnc_framebuffer_tail.inc:729,ps2vnc_framebuffer_tail.inc:734,ps2vnc_framebuffer_tail.inc:827,ps2vnc_framebuffer_tail.inc:858,ps2vnc_framebuffer_tail.inc:1019,ps2vnc_framebuffer_tail.inc:1074,ps2vnc_framebuffer_tail.inc:1081,ps2vnc_management_core.inc:237,ps2vnc_management_core.inc:300,ps2vnc_management_core.inc:342,ps2vnc_management_core.inc:355,ps2vnc_management_core.inc:396,ps2vnc_management_tail.inc:75,ps2vnc_runtime_core.inc:260,ps2vnc_runtime_tail.inc:216,ps2vnc_runtime_tail.inc:690,ps2vnc_runtime_tail.inc:695,ps2vnc_runtime_tail.inc:706,ps2vnc_services_imports.h:15,ps2vnc_ui_tail.inc:5,ps2vnc_ui_tail.inc:1375,ps2vnc_ui_tail.inc:1376
ps2vnc_runtime.o	desktop_output_height	desktop_output_height	18	ps2vnc_calibration_tail.inc:925,ps2vnc_calibration_tail.inc:1000,ps2vnc_calibration_tail.inc:1595,ps2vnc_display_core.inc:99,ps2vnc_display_core.inc:525,ps2vnc_display_tail.inc:124,ps2vnc_display_tail.inc:696,ps2vnc_display_tail.inc:1015,ps2vnc_display_tail.inc:1022,ps2vnc_framebuffer_tail.inc:163,ps2vnc_framebuffer_tail.inc:174,ps2vnc_framebuffer_tail.inc:206,ps2vnc_framebuffer_tail.inc:236,ps2vnc_framebuffer_tail.inc:312,ps2vnc_framebuffer_tail.inc:800,ps2vnc_management_tail.inc:80,ps2vnc_runtime_core.inc:269,ps2vnc_services_imports.h:16
ps2vnc_runtime.o	desktop_output_width	desktop_output_width	18	ps2vnc_calibration_tail.inc:924,ps2vnc_calibration_tail.inc:999,ps2vnc_calibration_tail.inc:1593,ps2vnc_display_core.inc:98,ps2vnc_display_core.inc:524,ps2vnc_display_tail.inc:123,ps2vnc_display_tail.inc:695,ps2vnc_display_tail.inc:1014,ps2vnc_display_tail.inc:1021,ps2vnc_framebuffer_tail.inc:162,ps2vnc_framebuffer_tail.inc:173,ps2vnc_framebuffer_tail.inc:205,ps2vnc_framebuffer_tail.inc:228,ps2vnc_framebuffer_tail.inc:311,ps2vnc_framebuffer_tail.inc:792,ps2vnc_management_tail.inc:79,ps2vnc_runtime_core.inc:268,ps2vnc_services_imports.h:17
ps2vnc_runtime.o	desktop_output_x	desktop_output_x	32	ps2vnc_calibration_core.inc:1509,ps2vnc_calibration_tail.inc:922,ps2vnc_calibration_tail.inc:997,ps2vnc_calibration_tail.inc:1589,ps2vnc_calibration_tail.inc:1593,ps2vnc_display_core.inc:96,ps2vnc_display_core.inc:522,ps2vnc_display_tail.inc:121,ps2vnc_display_tail.inc:693,ps2vnc_display_tail.inc:1012,ps2vnc_display_tail.inc:1019,ps2vnc_framebuffer_core.inc:1125,ps2vnc_framebuffer_core.inc:1178,ps2vnc_framebuffer_core.inc:1224,ps2vnc_framebuffer_tail.inc:171,ps2vnc_framebuffer_tail.inc:203,ps2vnc_framebuffer_tail.inc:217,ps2vnc_framebuffer_tail.inc:228,ps2vnc_framebuffer_tail.inc:309,ps2vnc_framebuffer_tail.inc:731,ps2vnc_framebuffer_tail.inc:781,ps2vnc_framebuffer_tail.inc:792,ps2vnc_framebuffer_tail.inc:863,ps2vnc_framebuffer_tail.inc:1078,ps2vnc_framebuffer_tail.inc:1131,ps2vnc_framebuffer_tail.inc:1158,ps2vnc_framebuffer_tail.inc:1166,ps2vnc_framebuffer_tail.inc:1183,ps2vnc_framebuffer_tail.inc:1207,ps2vnc_management_tail.inc:77,ps2vnc_runtime_core.inc:266,ps2vnc_services_imports.h:18
ps2vnc_runtime.o	desktop_output_y	desktop_output_y	32	ps2vnc_calibration_core.inc:1510,ps2vnc_calibration_tail.inc:923,ps2vnc_calibration_tail.inc:998,ps2vnc_calibration_tail.inc:1590,ps2vnc_calibration_tail.inc:1595,ps2vnc_display_core.inc:97,ps2vnc_display_core.inc:523,ps2vnc_display_tail.inc:122,ps2vnc_display_tail.inc:694,ps2vnc_display_tail.inc:1013,ps2vnc_display_tail.inc:1020,ps2vnc_framebuffer_core.inc:1124,ps2vnc_framebuffer_core.inc:1177,ps2vnc_framebuffer_core.inc:1223,ps2vnc_framebuffer_tail.inc:172,ps2vnc_framebuffer_tail.inc:204,ps2vnc_framebuffer_tail.inc:222,ps2vnc_framebuffer_tail.inc:236,ps2vnc_framebuffer_tail.inc:310,ps2vnc_framebuffer_tail.inc:732,ps2vnc_framebuffer_tail.inc:786,ps2vnc_framebuffer_tail.inc:800,ps2vnc_framebuffer_tail.inc:861,ps2vnc_framebuffer_tail.inc:1079,ps2vnc_framebuffer_tail.inc:1126,ps2vnc_framebuffer_tail.inc:1157,ps2vnc_framebuffer_tail.inc:1164,ps2vnc_framebuffer_tail.inc:1181,ps2vnc_framebuffer_tail.inc:1205,ps2vnc_management_tail.inc:78,ps2vnc_runtime_core.inc:267,ps2vnc_services_imports.h:19
