iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T12:38:53.794-04:00	2026-08-30T12:38:56.146-04:00	2026-08-30T12:39:08.343-04:00	2026-08-30T12:39:09.919-04:00	17.125865	PASS	
2	480p-hires	steady	1	2026-08-30T12:39:12.502-04:00	2026-08-30T12:39:14.781-04:00	2026-08-30T12:39:27.031-04:00	2026-08-30T12:39:28.928-04:00	17.426064	PASS	
3	576i	steady	1	2026-08-30T12:39:31.468-04:00	2026-08-30T12:39:33.797-04:00	2026-08-30T12:39:45.985-04:00	2026-08-30T12:39:49.196-04:00	18.728547	PASS	
4	720p	steady	1	2026-08-30T12:39:51.733-04:00	2026-08-30T12:39:54.459-04:00	2026-08-30T12:40:06.647-04:00	2026-08-30T12:40:08.561-04:00	17.828586	PASS	
5	1080i	steady	1	2026-08-30T12:40:11.098-04:00	2026-08-30T12:40:13.400-04:00	2026-08-30T12:40:25.651-04:00	2026-08-30T12:40:27.569-04:00	17.471684	PASS	
