iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T16:36:49.263-04:00	2026-08-30T16:36:51.137-04:00	2026-08-30T16:37:03.324-04:00	2026-08-30T16:37:05.298-04:00	17.035197	PASS	
2	480p-hires	steady	1	2026-08-30T16:37:07.861-04:00	2026-08-30T16:37:10.197-04:00	2026-08-30T16:37:22.398-04:00	2026-08-30T16:37:23.866-04:00	17.005505	PASS	
3	576i	steady	1	2026-08-30T16:37:26.455-04:00	2026-08-30T16:37:28.734-04:00	2026-08-30T16:37:40.919-04:00	2026-08-30T16:37:42.404-04:00	16.949026	PASS	
4	720p	steady	1	2026-08-30T16:37:44.996-04:00	2026-08-30T16:37:47.693-04:00	2026-08-30T16:37:59.925-04:00	2026-08-30T16:38:01.394-04:00	17.398146	PASS	
5	1080i	steady	1	2026-08-30T16:38:03.930-04:00	2026-08-30T16:38:06.275-04:00	2026-08-30T16:38:18.510-04:00	2026-08-30T16:38:22.256-04:00	19.327372	PASS	
