iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T07:28:26.101-04:00	2026-08-30T07:28:28.235-04:00	2026-08-30T07:28:40.538-04:00	2026-08-30T07:28:42.601-04:00	17.500927	PASS	
2	480p-hires	steady	1	2026-08-30T07:28:45.488-04:00	2026-08-30T07:28:48.088-04:00	2026-08-30T07:29:00.400-04:00	2026-08-30T07:29:02.380-04:00	17.892662	PASS	
3	576i	steady	1	2026-08-30T07:29:05.264-04:00	2026-08-30T07:29:07.947-04:00	2026-08-30T07:29:20.248-04:00	2026-08-30T07:29:22.308-04:00	18.045486	PASS	
4	720p	steady	1	2026-08-30T07:29:25.272-04:00	2026-08-30T07:29:28.382-04:00	2026-08-30T07:29:40.701-04:00	2026-08-30T07:29:42.683-04:00	18.411840	PASS	
5	1080i	steady	1	2026-08-30T07:29:45.584-04:00	2026-08-30T07:29:48.312-04:00	2026-08-30T07:30:00.615-04:00	2026-08-30T07:30:02.652-04:00	18.069938	PASS	
