iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T08:39:19.774-04:00	2026-08-30T08:39:22.360-04:00	2026-08-30T08:39:34.711-04:00	2026-08-30T08:39:36.617-04:00	17.844130	PASS	
2	480p-hires	steady	1	2026-08-30T08:39:39.551-04:00	2026-08-30T08:39:42.198-04:00	2026-08-30T08:39:54.519-04:00	2026-08-30T08:39:56.543-04:00	17.993577	PASS	
3	576i	steady	1	2026-08-30T08:39:59.455-04:00	2026-08-30T08:40:02.080-04:00	2026-08-30T08:40:14.402-04:00	2026-08-30T08:40:15.812-04:00	17.357531	PASS	
4	720p	steady	1	2026-08-30T08:40:18.759-04:00	2026-08-30T08:40:21.385-04:00	2026-08-30T08:40:33.701-04:00	2026-08-30T08:40:35.771-04:00	18.013057	PASS	
5	1080i	steady	1	2026-08-30T08:40:38.710-04:00	2026-08-30T08:40:41.868-04:00	2026-08-30T08:40:54.204-04:00	2026-08-30T08:40:55.683-04:00	17.974078	PASS	
