iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T22:27:50.438-04:00	2026-08-30T22:27:52.467-04:00	2026-08-30T22:28:04.753-04:00	2026-08-30T22:28:06.330-04:00	16.892666	PASS	
2	480p-hires	steady	1	2026-08-30T22:28:08.945-04:00	2026-08-30T22:28:11.340-04:00	2026-08-30T22:28:23.544-04:00	2026-08-30T22:28:25.137-04:00	17.193069	PASS	
3	576i	steady	1	2026-08-30T22:28:27.734-04:00	2026-08-30T22:28:30.204-04:00	2026-08-30T22:28:42.404-04:00	2026-08-30T22:28:43.957-04:00	17.223642	PASS	
4	720p	steady	1	2026-08-30T22:28:46.567-04:00	2026-08-30T22:28:48.982-04:00	2026-08-30T22:29:01.186-04:00	2026-08-30T22:29:02.802-04:00	17.235598	PASS	
5	1080i	steady	1	2026-08-30T22:29:05.387-04:00	2026-08-30T22:29:08.349-04:00	2026-08-30T22:29:20.569-04:00	2026-08-30T22:29:22.145-04:00	17.760366	PASS	
