iteration	mode	strategy	txid	started	active_temp	restore_requested	restored	elapsed_seconds	result	error
1	480i	steady	1	2026-08-30T06:55:31.921-04:00	2026-08-30T06:55:34.505-04:00	2026-08-30T06:55:46.804-04:00	2026-08-30T06:55:48.224-04:00	17.304028	PASS	
2	480p-hires	steady	1	2026-08-30T06:55:51.163-04:00	2026-08-30T06:55:53.759-04:00	2026-08-30T06:56:06.094-04:00	2026-08-30T06:56:08.643-04:00	18.481092	PASS	
3	576i	steady	1	2026-08-30T06:56:11.535-04:00	2026-08-30T06:56:14.162-04:00	2026-08-30T06:56:26.459-04:00	2026-08-30T06:56:28.518-04:00	17.985714	PASS	
4	720p	steady	1	2026-08-30T06:56:31.469-04:00	2026-08-30T06:56:34.550-04:00	2026-08-30T06:56:46.855-04:00	2026-08-30T06:56:48.851-04:00	18.382809	PASS	
5	1080i	steady	1	2026-08-30T06:56:51.731-04:00	2026-08-30T06:56:54.461-04:00	2026-08-30T06:57:06.755-04:00	2026-08-30T06:57:08.858-04:00	18.128041	PASS	
