RECEIVER_START	receive_epoch_ms=1788139811418	receive_monotonic_ns=37914997711728	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788139906332	receive_monotonic_ns=38009912342722	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=195 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139906628	receive_monotonic_ns=38010207745379	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=213 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139906921	receive_monotonic_ns=38010500783953	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=230 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139907219	receive_monotonic_ns=38010798777304	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=248 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139907511	receive_monotonic_ns=38011091227952	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=265 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139907809	receive_monotonic_ns=38011389235600	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=283 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139908108	receive_monotonic_ns=38011688415872	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=301 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139908401	receive_monotonic_ns=38011981299981	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=319 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139908699	receive_monotonic_ns=38012278850537	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=336 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139908992	receive_monotonic_ns=38012572188848	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=354 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
