file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_calibration_tail.inc	749	779	calculate_presented_desktop_geometry	2	SAFE_PRESENTATION,DIMENSIONS,DISPLAY_MODE	calculate_safe_desktop_geometry,pstvnc_video_geometry_presented_rect
working/b4a/ps2vnc_calibration_tail.inc	787	806	ps2vnc_controller_pad_acquire	0		
working/b4a/ps2vnc_calibration_tail.inc	814	832	ps2vnc_controller_pad_wait_release	0		
working/b4a/ps2vnc_calibration_tail.inc	835	850	ps2vnc_controller_pad_release	0		
working/b4a/ps2vnc_calibration_tail.inc	863	944	ps2vnc_reconfigure_current_desktop_hires	1	DIMENSIONS,DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	debug_emit_geometry_snapshot,ps2vnc_display_publish_full_desktop,receive_framebuffer_update,region_fits_u32,request_and_confirm_desktop_size,request_framebuffer,set_live_encoding,set_raw_encoding,set_raw_extended_desktop_encoding
working/b4a/ps2vnc_calibration_tail.inc	952	990	ps2vnc_reconfigure_current_desktop_standard	1	DIMENSIONS,DISPLAY_MODE,FRAMEBUFFER_RFB	debug_emit_geometry_snapshot,region_fits_u32
working/b4a/ps2vnc_calibration_tail.inc	1003	1116	ps2vnc_run_runtime_calibration	0	DISPLAY_MODE,FRAMEBUFFER_RFB,CALIBRATION,GS_TRANSPORT	calculate_presented_desktop_geometry,flush_rfb_outgoing,ps2vnc_controller_pad_acquire,ps2vnc_controller_pad_release,ps2vnc_controller_pad_wait_release,ps2vnc_display_direct_write_cancel,ps2vnc_display_save_to_pi,ps2vnc_display_wait_presentation_memory_idle,ps2vnc_reconfigure_current_desktop_hires,ps2vnc_reconfigure_current_desktop_standard,run_screen_fit_calibration,screenf
working/b4a/ps2vnc_calibration_tail.inc	1127	1160	ps2vnc_display_create_hires	1	DIMENSIONS,DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_init_global,gsKit_hires_init_screen,ps2vnc_hires_effective_width
working/b4a/ps2vnc_calibration_tail.inc	1168	1220	ps2vnc_display_create_standard	1	DIMENSIONS,DISPLAY_MODE,GS_TRANSPORT	pstvnc_video_mode_supports_backend
working/b4a/ps2vnc_calibration_tail.inc	1230	1245	ps2vnc_display_create	0	DISPLAY_MODE,GS_TRANSPORT	ps2vnc_display_create_hires,ps2vnc_display_create_standard,pstvnc_video_mode_default_backend
