file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_ui_core.inc	1220	1298	analog_speed_curve_q12	1	SCALING_ASPECT	
working/b4a/ps2vnc_calibration_core.inc	1466	1506	debug_emit_geometry_snapshot	0	FRAMEBUFFER_RFB,CALIBRATION	
working/b4a/ps2vnc_calibration_core.inc	1568	1571	screen_fit_draw_x	0	CALIBRATION	ps2vnc_display_output_x
working/b4a/ps2vnc_calibration_core.inc	1573	1576	screen_fit_draw_y	0	CALIBRATION	ps2vnc_display_output_y
working/b4a/ps2vnc_calibration_core.inc	1578	1584	screen_fit_prim_sprite	0	CALIBRATION,GS_TRANSPORT	screen_fit_draw_x,screen_fit_draw_y
working/b4a/ps2vnc_calibration_tail.inc	3	36	screen_fit_prim_sprite_clipped	0	CALIBRATION,GS_TRANSPORT	screen_fit_prim_sprite
working/b4a/ps2vnc_calibration_tail.inc	110	209	screen_fit_draw_corner_marker	0	CALIBRATION,GS_TRANSPORT	screen_fit_prim_sprite
working/b4a/ps2vnc_calibration_tail.inc	1299	1320	ps2vnc_display_wait_presentation_memory_idle	0	DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_sync
working/b4a/ps2vnc_framebuffer_core.inc	108	133	hextile_fill_rect	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_store_pixel,ps2vnc_display_direct_write_row
working/b4a/ps2vnc_framebuffer_core.inc	191	234	hextile_recv_subrects	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_fill_rect,hextile_recv_pixel,recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	237	334	hextile_recv_rect	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_fill_rect,hextile_recv_pixel,hextile_recv_raw_tile,hextile_recv_subrects,recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	1098	1111	ps2vnc_display_direct_write_active	0	DISPLAY_MODE	ps2vnc_hires_requires_raster_mapping
working/b4a/ps2vnc_framebuffer_core.inc	1113	1126	ps2vnc_display_direct_write_row	0	FRAMEBUFFER_RFB	hires_bg_storage_row,ps2vnc_display_direct_write_active
working/b4a/ps2vnc_framebuffer_core.inc	1128	1131	ps2vnc_display_direct_write_cancel	0		
working/b4a/ps2vnc_runtime_core.inc	68	87	ps2vnc_hires_requires_horizontal_mapping	0	DISPLAY_MODE	ps2vnc_hires_effective_width
working/b4a/ps2vnc_runtime_core.inc	90	109	ps2vnc_hires_requires_vertical_mapping	0	DISPLAY_MODE	ps2vnc_hires_full_frame_height
working/b4a/ps2vnc_runtime_core.inc	112	117	ps2vnc_hires_requires_raster_mapping	0		ps2vnc_hires_requires_horizontal_mapping,ps2vnc_hires_requires_vertical_mapping
working/b4a/ps2vnc_runtime_core.inc	559	599	rfb_dirty_mark_rect	0	FRAMEBUFFER_RFB	
working/b4a/ps2vnc_runtime_tail.inc	1471	1507	osk_fill_rect	0		
